Vopros;Otvet;Otvet_2;Otvet_3;Right_answer
Что выйдет в этом случии alist = [(2, 2, 3), ('1, 1)]'alist = sorted(alist, key=lambda x: x[1])'print(alist) ?;[(1, 1), (2, 2, 3)];[(2,2,3)](1, 1);[(1,2)(2,1,3)];[(1, 1), (2, 2, 3)]
Что осоцеируица с Python???;Кролик;Пингвином;Змея;Змея
Что выдает ?  now = datetime.now();Выведит секунды;Выведет дату пройденого времени;получишь текущее время;получишь текущее время
"alist[::-1]";Певорачивает строку в полиглот;Выводит стору;Выводит строку но без одной буквы;Певорачивает строку в полиглот
Как Записать и Вывести  строку;print() input();input()print();input((print));input()print()
что делает? from random import random;Добавляет  базу Random;Добавляет Random числа;Импортирует модуль Random;Импортирует модуль Random
то делает? range(start, stop);возвращает все целые числа в промежутке от start (включая) до stop (не включая); возвращает все целые числа в промежутке от start (включая) до stop (включая);возвращает все целые числа в промежутке от start (не включая) до stop ( включая);ange(start, stop);возвращает все целые числа в промежутке от start (включая) до stop (не включая)
что делает? len(list):;возвращает  строки;возвращает длину списка;сумирует общее значения;озвращает длину списка;
что делает? read():;считывает одну строку из файла;считывает все содержимое файла в одну строку;считывает все строки файла в список;считывает все содержимое файла в одну строку
что делает? with open(file, mode.cvs);Открывает cvs Файл;Добавляет  Файл ;Открывает текстовый документ;Открывает cvs Файл
Можно создать пустое множество так:emptyset = {1,2}&{3,4}emptysetset()Или emptyset = set() Верный ли это подход?;Только первым;Только вторым;Оба варианта верны;Оба варианта верн
Как используется строка Main Heading в следующем примере? <h1 tal:content="here/title">Main Heading</h1> ;строка не используется;в качестве заглушки, чтобы в средствах визуального форматирования было видно, что форматируется;содержит значение, на которое можно сослаться в другом месте документа;в качестве заглушки, чтобы в средствах визуального форматирования было видно, что форматируется
Какие новые имена появятся в текущем модуле после выполнения следующего кода;нельзя одновременно делать import и from-import;только имена sre и compile;только имена re и compile;только имена re и compile
Хэширование что это;это функция, которая преобразует последовательность переменных длины байтов в последовательность фиксированной длины.;Это цикл который преобразует последовательность переменных длины байтов в последовательность фиксированной длины.;Это операция который преобразует последовательность переменных длины байтов в последовательность фиксированной длины.;это функция, которая преобразует последовательность переменных длины байтов в последовательность фиксированной длины.
что это??? open() close() write() read();системные вызовы;система операций;циклы;системные вызовы
что означает if?;если;что;когда;если
что такое такое for;Цикл;Операции;Лист;Цикл
def это;система;Цикл;Функция;Функция
как создать список??; Добавит{};Добавит[];Записать .список;Добавить{} 
